Страна или территория;Столица;Площадь, км^2;Население, чел.;Континент;Явялется территорией или владением
Абхазия;Сухум;8600;243564;Азия;Грузия
Австралия;Канберра;7686850;24238610;Австралия и Океания;
Австрия;Вена;83858;8741753;Европа;
Азербайджан;Баку;86600;9705600;Азия;
Албания;Тирана;28748;2866026;Европа;
Алжир;Алжир;2381740;39813722;Африка;
Ангола;Луанда;1246700;25831000;Африка;
Андорра;Андорра-ла-Велья;468;78014;Европа;
Антигуа и Барбуда;Сент-Джонс;442;93581;Северная Америка;
Аргентина;Буэнос-Айрес;2766890;43847000;Южная Америка;
Армения;Ереван;29741;2995100;Азия;
Афганистан;Кабул;647500;29822848;Азия;
Багамские Острова;Нассау;13940;393000;Северная Америка;
Бангладеш;Дакка;144000;160221000;Азия;
Барбадос;Бриджтаун;430;291495;Северная Америка;
Бахрейн;Манама;701;1397000;Азия;
Белиз;Бельмопан;22966;377968;Северная Америка;
Белоруссия;Минск;207595;9498400;Европа;
Бельгия;Брюссель;30528;11250585;Европа;
Бенин;Порто-Ново;112620;11167000;Африка;
Болгария;София;110910;7153784;Европа;
Боливия;Сукре;1098580;10985059;Южная Америка;
Босния и Герцеговина;Сараево;51129;3802000;Европа;
Ботсвана;Габороне;600370;2209208;Африка;
Бразилия;Бразилиа;8511965;206081432;Южная Америка;
Бруней;Бандар-Сери-Бегаван;5770;436620;Азия;
Буркина-Фасо;Уагадугу;274200;19034397;Африка;
Бурунди;Гитега;27830;11099298;Африка;
Бутан;Тхимпху;47000;784000;Азия;
Вануату;Порт-Вила;12200;289700;Австралия и Океания;
Ватикан;Ватикан;0;842;Европа;
Великобритания;Лондон;24482065;341183;Европа;
Венгрия;Будапешт;93030;9830485;Европа;
Венесуэла;Каракас;912050;31028637;Южная Америка;
Восточный Тимор;Дили;14874;1167242;Азия;
Вьетнам;Ханой;329560;91713300;Азия;
Габон;Либревиль;267667;1811079;Африка;
Гаити;Порт-о-Пренс;27750;10911819;Северная Америка;
Гайана;Джорджтаун;214970;741962;Южная Америка;
Гамбия;Банжул;11300;2025527;Африка;
Гана;Аккра;238540;28308301;Африка;
Гватемала;Гватемала;108890;16555556;Северная Америка;
Гвинея;Конакри;245857;10628972;Африка;
Гвинея-Бисау;Бисау;36120;1547754;Африка;
Германия;Берлин;357021;82175684;Европа;
Гондурас;Тегусигальпа;112090;8721014;Северная Америка;
Государство Палестина;Иерусалим (Рамалла);6020;4816503;Азия;Израиль
Гренада;Сент-Джорджес;340;110566;Северная Америка;
Греция;Афины;131940;10793526;Европа;
Грузия;Тбилиси;69700;3720400;Азия;
Дания;Копенгаген;43094;5707251;Европа;
Джибути;Джибути;22000;890179;Африка;
Доминика;Розо;754;69393;Северная Америка;
Доминиканская Республика;Санто-Доминго;48730;10075045;Северная Америка;
ДР Конго;Киншаса;2345410;85026000;Африка;
Египет;Каир;1001450;91701723;Африка;
Замбия;Лусака;752614;16717000;Африка;
Зимбабве;Хараре;390580;15967000;Африка;
Израиль;Иерусалим;22072;8585000;Азия;
Индия;Нью-Дели;3287590;1268961000;Азия;
Индонезия;Джакарта;1904556;255461700;Азия;
Иордания;Амман;89400;9813095;Азия;
Ирак;Багдад;437072;37883543;Азия;
Иран;Тегеран;1648000;80840713;Азия;
Ирландия;Дублин;70273;4658530;Европа;
Исландия;Рейкьявик;103000;332529;Европа;
Испания;Мадрид;497304;46438422;Европа;
Италия;Рим;301340;60665551;Европа;
Йемен;Сана;527970;27478000;Азия;
Кабо-Верде;Прая;4033;538535;Африка;
Казахстан;Нур-Султан;2724900;17753200;Азия;
Камбоджа;Пномпень;181040;15827000;Азия;
Камерун;Яунде;475440;23924000;Африка;
Канада;Оттава;9976139;36286425;Северная Америка;
Катар;Доха;11437;2553393;Азия;
Кения;Найроби;582650;44156577;Африка;
Кипр;Никосия;9250;848319;Азия;
Киргизия;Бишкек;198500;6019500;Азия;
Кирибати;Южная Тарава;717;109693;Австралия и Океания;
Китай;Пекин;9640821;1410549741;Азия;
КНДР;Пхеньян;120540;25281000;Азия;
Колумбия;Богота;1138910;48892070;Южная Америка;
Коморские Острова;Морони;2235;806153;Африка;
Коста-Рика;Сан-Хосе;51100;4890379;Северная Америка;
Кот-д'Ивуар;Ямусукро;322460;23254000;Африка;
Куба;Гавана;110860;11236348;Северная Америка;
Кувейт;Эль-Кувейт;17820;4330308;Азия;
Лаос;Вьентьян;236800;6492400;Азия;
Латвия;Рига;64589;1968957;Европа;
Лесото;Масеру;30355;2160000;Африка;
Либерия;Монровия;111370;4001855;Африка;
Ливан;Бейрут;10452;5988000;Азия;
Ливия;Триполи;1759540;6244174;Африка;
Литва;Вильнюс;65200;2888558;Европа;
Лихтенштейн;Вадуц;160;37662;Европа;
Люксембург;Люксембург;2586;576249;Европа;
Маврикий;Порт-Луи;2040;1263747;Африка;
Мавритания;Нуакшот;1030700;3537368;Африка;
Мадагаскар;Антананариву;587040;24430325;Африка;
Малави;Лилонгве;118480;17377468;Африка;
Малайзия;Куала-Лумпур;329750;31790277;Азия;
Мали;Бамако;1240000;18135000;Африка;
Мальдивские Острова;Мале;300;402071;Азия;
Мальта;Валлетта;316;434403;Европа;
Марокко;Рабат;446550;34817000;Африка;
Маршалловы Острова;Маджуро;181;55717;Австралия и Океания;
Мексика;Мехико;1972550;122273473;Северная Америка;
Мозамбик;Мапуту;801590;26423623;Африка;
Молдавия;Кишинёв;33846;3553056;Европа;
Монако;Монако;2;38400;Европа;
Монголия;Улан-Батор;1564116;3081677;Азия;
Мьянма;Нейпьидо;678500;51419420;Азия;
Намибия;Виндхук;825418;2436469;Африка;
Науру;-;21;10800;Австралия и Океания;
Непал;Катманду;140800;28431494;Азия;
Нигер;Ниамей;1267000;20715000;Африка;
Нигерия;Абуджа;923768;186988000;Африка;
Нидерланды;Амстердам;41526;16979120;Европа;
Никарагуа;Манагуа;129494;6262703;Северная Америка;
Новая Зеландия;Веллингтон;268680;4722321;Австралия и Океания;
Норвегия;Осло;385186;5213985;Европа;
ОАЭ;Абу-Даби;82880;9267000;Азия;
Оман;Маскат;309500;4523401;Азия;
Пакистан;Исламабад;881913;196174380;Азия;
Палау;Нгерулмуд;458;17661;Австралия и Океания;
Панама;Панама;78200;4037043;Северная Америка;
Папуа - Новая Гвинея;Порт-Морсби;463840;8151300;Австралия и Океания;
Парагвай;Асунсьон;406750;6854536;Южная Америка;
Перу;Лима;1285220;31488625;Южная Америка;
Польша;Варшава;312685;37967209;Европа;
Португалия;Лиссабон;92082;10341330;Европа;
Республика Конго;Браззавиль;342000;4741000;Африка;
Республика Корея;Сеул;98480;51664244;Азия;
Россия;Москва;17102345;146544700;Европа;
Руанда;Кигали;26338;11533446;Африка;
Румыния;Бухарест;237500;19759968;Европа;
Сальвадор;Сан-Сальвадор;21040;6460271;Северная Америка;
Самоа;Апиа;2860;194899;Австралия и Океания;
Сан-Марино;Сан-Марино;61;33005;Европа;
Сан-Томе и Принсипи;Сан-Томе;1001;194000;Африка;
Саудовская Аравия;Эр-Рияд;2218000;31015999;Азия;
Северная Македония;Скопье;25333;2071278;Европа;
Сейшельские Острова;Виктория;455;93186;Африка;
Сенегал;Дакар;196190;14799859;Африка;
Сент-Винсент и Гренадины;Кингстаун;389;110255;Северная Америка;
Сент-Китс и Невис;Бастер;261;52329;Северная Америка;
Сент-Люсия;Кастри;620;172818;Северная Америка;
Сербия;Белград;88361;9846582;Европа;
Сингапур;Сингапур;714;5607300;Азия;
Сирия;Дамаск;185180;17185170;Азия;
Словакия;Братислава;48845;5426252;Европа;
Словения;Любляна;20253;2064188;Европа;
Соломоновы Острова;Хониара;28450;651700;Австралия и Океания;
Сомали;Могадишо;637657;12316895;Африка;
Судан;Хартум;1886068;41176000;Африка;
Суринам;Парамарибо;163270;558773;Южная Америка;
США;Вашингтон;9522057;322762018;Северная Америка;
Сьерра-Леоне;Фритаун;71740;7075641;Африка;
Таджикистан;Душанбе;143100;8551000;Азия;
Таиланд;Бангкок;514000;68147000;Азия;
Танзания;Додома;948087;50142938;Африка;
Того;Ломе;56785;7143000;Африка;
Тонга;Нукуалофа;748;106440;Австралия и Океания;
Тринидад и Тобаго;Порт-оф-Спейн;5128;1349667;Северная Америка;
Тувалу;Фунафути;26;10782;Австралия и Океания;
Тунис;Тунис;163610;11154372;Африка;
Туркмения;Ашхабад;491200;5439000;Азия;
Турция;Анкара;780580;78741053;Азия;
Уганда;Кампала;236040;36860700;Африка;
Узбекистан;Ташкент;447400;31807000;Азия;
Украина;Киев;576604;42650186;Европа;
Уругвай;Монтевидео;176220;3480222;Южная Америка;
Федеративные Штаты Микронезии;Паликир;702;105681;Австралия и Океания;
Фиджи;Сува;18270;903207;Австралия и Океания;
Филиппины;Манила;300000;102980480;Азия;
Финляндия;Хельсинки;337030;5487308;Европа;
Франция;Париж;547030;64513242;Европа;
Хорватия;Загреб;56542;4190669;Европа;
ЦАР;Банги;622984;5277959;Африка;
Чад;Нджамена;1284000;14497000;Африка;
Черногория;Подгорица;14026;622218;Европа;
Чехия;Прага;78866;10553843;Европа;
Чили;Сантьяго;756950;18006407;Южная Америка;
Швейцария;Берн;41290;8325194;Европа;
Швеция;Стокгольм;449964;9851017;Европа;
Шри-Ланка;Шри-Джаяварденепура-Котте;65610;21866445;Азия;
Эквадор;Кито;283560;16599593;Южная Америка;
Экваториальная Гвинея;Малабо;28051;1222442;Африка;
Эритрея;Асмэра;121320;5352000;Африка;
Эсватини;Мбабане;17363;1419623;Африка;
Эстония;Таллин;45226;1315944;Европа;
Эфиопия;Аддис-Абеба;1127127;101853000;Африка;
ЮАР;Претория;1219912;55908900;Африка;
Южная Осетия;Цхинвал;3900;53532;Азия;Грузия
Южный Судан;Джуба;619745;12733000;Африка;
Ямайка;Кингстон;10990;2723000;Северная Америка;
Япония;Токио;377944;127103388;Азия;
Авдаленд;Борама;21374;417311;Африка;Сомали
Азавад;Томбукту;822000;1295000;Африка;Мали
Азад Джамму и Кашмир;Музаффарабад;11639;3631224;Азия;Пакистан
Азания;Доблей;7000;70000;Африка;Сомали
Вазиристан;Вана;11585;791087;Азия;Пакистан
Галмудуг;Галькайо;46000;1800000;Африка;Сомали
Государство Ва;Панкан;17000;558000;Азия;Мьянма
Государство Шан;Таунджи;155800;4702000;Азия;Мьянма
Джубаленд;Кисмайо;87000;1300000;Африка;Сомали
Донецкая Народная Республика;Донецк;8436;1867000;Европа;Украина
Китайская Республика;Тайбэй;35980;23516841;Азия;Китай
Луганская Народная Республика;Луганск;8597;1222950;Европа;Украина
Мальтийский орден;Мальтийский дворец;0;10500;Европа;Италия
Нагорно-Карабахская Республика;Степанакерт;11500;146600;Азия;Азербайджан
Приднестровская Молдавская Республика;Тирасполь;4163;475665;Европа;Молдавия
Пунтленд;Гароуэ;212510;3900000;Африка;Сомали
Республика Косово;Приштина;10887;1771604;Европа;Сербия
Сахарская Арабская Демократическая Республика;Эль-Аюн;266000;584000;Африка;Марокко, Мавритания
Силенд;Силенд;0;5;Европа;Великобритания
Сомалиленд;Харгейса;137600;3515380;Африка;Сомали
Турецкая Республика Северного Кипра;Никосия;3300;313626;Азия;Кипр
Химан и Хеб;Ададо;30000;500000;Африка;Сомали
Азорские острова;Понта-Делгада;2346;256746;Африка;Португалия
Аландские острова;Мариехамн;1552;30361;Европа;Финляндия
Американское Самоа;Паго-Паго;199;56400;Австралия и Океания;США
Ангилья;Валли;102;16752;Северная Америка;Великобритания
Антарктида;-;14107000;4000;Антарктида;Международная территория
Аруба;Ораньестад;193;113648;Северная Америка;Нидерланды
Бермудские острова;Гамильтон;53;61735;Северная Америка;Великобритания
Бир-Тавиль;-;2060;0;Африка;Нейтральная территория
Бонэйр;Кралендейк;288;13389;Северная Америка;Нидерланды
Британская территория в Индийском океане;Диего-Гарсия;60;2800;Азия;Великобритания
Британские Виргинские острова;Род-Таун;153;29151;Северная Америка;Великобритания
Виргинские острова США;Шарлотта-Амалия;346;102951;Северная Америка;США
Гавайи;Гонолулу;28311;1374810;Северная Америка;США
Гваделупа;Бас-Тер;1628;401554;Северная Америка;Франция
Гвиана;Кайенна;91000;254500;Южная Америка;Франция
Гернси;Сент-Питер-Порт;78;62711;Европа;Великобритания
Гибралтар;Гибралтар;6;33140;Европа;Великобритания
Голанские высоты;Эль-Кунейтра;1150;38000;Азия;Сирия, Израиль
Гонконг;Гонконг;1104;7346700;Азия;Китай
Гренландия;Нуук;2166086;57728;Северная Америка;Дания
Гуам;Хагатна;541;159358;Австралия и Океания;США
Джерси;Сент-Хельер;116;102700;Европа;Великобритания
Каймановы острова;Джорджтаун;264;59054;Северная Америка;Великобритания
Канарские острова;Санта-Крус-де-Тенерифе;7447;2126769;Африка;Испания
Кокосовые острова;Уэст-Айленд;14;596;Азия;Австралия
Кука острова;Аваруа;237;15200;Австралия и Океания;Новая Зеландия
Кюрасао;Виллемстад;444;158986;Северная Америка;Нидерланды
Мадейра;Фуншал;801;247161;Африка;Португалия
Майотта;Мамудзу;376;226900;Африка;Франция
Макао;Макао;27;652500;Азия;Китай
Мартиника;Фор-де-Франс;1128;378200;Северная Америка;Франция
Мелилья;Мелилья;12;65488;Африка;Испания
Монтсеррат;Плимут;102;5267;Северная Америка;Великобритания
Ниуэ;Алофи;261;1600;Австралия и Океания;Новая Зеландия
Новая Каледония;Нумеа;18575;277000;Австралия и Океания;Франция
Остров Мэн;Дуглас;572;88195;Европа;Великобритания
Остров Норфолк;Кингстон;35;2210;Австралия и Океания;Австралия
Остров Рождества;Флайинг-Фиш-Коув;135;2205;Азия;Австралия
Острова Питкэрн;Адамстаун;47;49;Австралия и Океания;Великобритания
Острова Святой Елены, Вознесения и Тристан-да-Кунья;Джеймстаун;420;5679;Африка;Великобритания
Пуэрто-Рико;Сан-Хуан;9104;3578056;Северная Америка;США
Реюньон;Сен-Дени;2512;843500;Африка;Франция
Саба;Боттом;13;2000;Северная Америка;Нидерланды
Северные Марианские острова;Сайпан;463;55700;Австралия и Океания;США
Сен-Бартелеми;Густавия;21;9417;Северная Америка;Франция
Сен-Мартен;Мариго;53;36457;Северная Америка;Франция
Сен-Пьер и Микелон;Сен-Пьер;242;5595;Северная Америка;Франция
Сеута;Сеута;18;78320;Африка;Испания
Синт-Мартен;Филипсбург;34;39410;Северная Америка;Нидерланды
Синт-Эстатиус;Ораньестад;21;3100;Северная Америка;Нидерланды
Теркс и Кайкос;Коберн-Таун;430;36689;Северная Америка;Великобритания
Токелау;-;10;1411;Австралия и Океания;Новая Зеландия
Уоллис и Футуна;Мата-Уту;274;11800;Австралия и Океания;Франция
Фарерские острова;Торсхавн;1399;49188;Европа;Дания
Фолклендские острова;Стэнли;12173;2932;Южная Америка;Великобритания, Аргентина
Французская Полинезия;Папеэте;4167;273800;Австралия и Океания;Франция
Французские Южные и Антарктические территории;Сен-Пьер;7829;200;Африка;Франция
Шпицберген;Лонгйир;61022;1872;Европа;Норвегия
Южная Георгия и Южные Сандвичевы острова;Кинг-Эдуард-Пойнт;4066;30;Южная Америка;Великобритания, Аргентина
